# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    X_H    adap_flag     sat_Cg    lnsat_Sig
5.00000e+01 1.00000e+03 0.00000e+00 8.00000e-03 9.45614e-02 0.00000e+00 6.70000e-04 1.49214e-09 1.20862e-03 0.00000e+00 3.72000e-01 0 7.09854e-15 -7.03974e+01 
1.05000e+03 1.00000e+03 6.37573e-05 7.97266e-03 9.45250e-02 0.00000e+00 6.70000e-04 1.49214e-09 1.20862e-03 0.00000e+00 3.72000e-01 0 7.09854e-15 -7.03974e+01 
1.05006e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.47145e-02 0.00000e+00 6.70000e-04 1.49214e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.77589e-11 -5.64493e+01 
2.05006e+03 1.00000e+03 4.41734e-04 7.81058e-03 9.44622e-02 0.00000e+00 6.70000e-04 1.42849e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.79569e-10 -4.26278e+01 
2.05007e+03 1.00000e+03 1.54293e-04 7.93384e-03 9.46264e-02 0.00000e+00 6.70000e-04 1.42849e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.65847e-10 -4.26358e+01 
2.05010e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.48558e-02 0.00000e+00 6.70000e-04 1.42849e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.74776e-10 -4.26305e+01 
3.05010e+03 1.00000e+03 4.42393e-04 7.81030e-03 9.46031e-02 0.00000e+00 6.70000e-04 1.36807e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.79569e-10 -4.26233e+01 
3.05011e+03 1.00000e+03 1.54523e-04 7.93374e-03 9.47675e-02 0.00000e+00 6.70000e-04 1.36807e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.65826e-10 -4.26313e+01 
3.05014e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.49972e-02 0.00000e+00 6.70000e-04 1.36807e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.74769e-10 -4.26261e+01 
4.05014e+03 1.00000e+03 4.43052e-04 7.81001e-03 9.47442e-02 0.00000e+00 6.70000e-04 1.31071e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 5.79569e-10 -4.26188e+01 
4.05015e+03 1.00000e+03 1.00506e-04 7.95690e-03 9.49398e-02 0.00000e+00 6.70000e-04 1.31071e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.55143e-10 -4.20776e+01 
4.05021e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.31071e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.69346e-10 -4.20714e+01 
5.05021e+03 1.00000e+03 4.38648e-04 7.81190e-03 9.47494e-02 0.00000e+00 6.70000e-04 1.25686e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.73513e-10 -4.20695e+01 
5.05023e+03 1.00000e+03 9.95073e-05 7.95733e-03 9.49432e-02 0.00000e+00 6.70000e-04 1.25686e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.55326e-10 -4.20774e+01 
5.05029e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.25685e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.69387e-10 -4.20713e+01 
6.05029e+03 1.00000e+03 4.38648e-04 7.81190e-03 9.47494e-02 0.00000e+00 6.70000e-04 1.20581e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.73513e-10 -4.20695e+01 
6.05031e+03 1.00000e+03 1.07619e-04 7.95385e-03 9.49385e-02 0.00000e+00 6.70000e-04 1.20581e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.65549e-10 -4.20518e+01 
6.05037e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.20581e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.79466e-10 -4.20458e+01 
7.05037e+03 1.00000e+03 4.38444e-04 7.81199e-03 9.47496e-02 0.00000e+00 6.70000e-04 1.15746e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 7.84014e-10 -4.20438e+01 
7.05040e+03 1.00000e+03 4.02053e-05 7.98276e-03 9.49770e-02 0.00000e+00 6.70000e-04 1.15746e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.01544e-09 -4.15122e+01 
7.05064e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.15744e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.03764e-09 -4.15050e+01 
8.05064e+03 1.00000e+03 4.34185e-04 7.81382e-03 9.47520e-02 0.00000e+00 6.70000e-04 1.11203e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.03988e-09 -4.15042e+01 
8.05067e+03 1.00000e+03 3.98149e-05 7.98293e-03 9.49773e-02 0.00000e+00 6.70000e-04 1.11202e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.01568e-09 -4.15121e+01 
8.05092e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.11201e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.03766e-09 -4.15050e+01 
9.05092e+03 1.00000e+03 4.34185e-04 7.81382e-03 9.47520e-02 0.00000e+00 6.70000e-04 1.06895e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.03988e-09 -4.15042e+01 
9.05095e+03 1.00000e+03 3.98149e-05 7.98293e-03 9.49773e-02 0.00000e+00 6.70000e-04 1.06895e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.01568e-09 -4.15121e+01 
9.05119e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.06894e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.03766e-09 -4.15050e+01 
1.00512e+04 1.00000e+03 4.34185e-04 7.81382e-03 9.47520e-02 0.00000e+00 6.70000e-04 1.02811e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.03988e-09 -4.15042e+01 
1.00513e+04 1.00000e+03 2.26726e-05 7.99028e-03 9.49870e-02 0.00000e+00 6.70000e-04 1.02810e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.46040e-09 -4.08155e+01 
1.00522e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.02806e-09 1.20862e-03 0.00000e+00 3.72000e-01 1 1.60327e-09 -4.03823e+01 
1.10522e+04 1.00000e+03 4.60375e-04 7.80259e-03 9.47370e-02 0.00000e+00 6.70000e-04 9.85911e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 1.60632e-09 -4.03805e+01 
1.10523e+04 1.00000e+03 1.81736e-04 7.92207e-03 9.48962e-02 0.00000e+00 6.70000e-04 9.85908e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.01275e-09 -3.99060e+01 
1.10525e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 9.85898e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.13558e-09 -3.96367e+01 
1.15525e+04 1.00000e+03 2.38497e-04 7.89773e-03 9.48638e-02 0.00000e+00 6.70000e-04 9.64923e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.15659e-09 -3.96334e+01 
1.15527e+04 1.00000e+03 6.86192e-07 7.99971e-03 9.49996e-02 0.00000e+00 6.70000e-04 9.64918e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.37351e-09 -3.94280e+01 
1.16152e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 9.62380e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.40425e-09 -3.94237e+01 
1.21152e+04 1.00000e+03 2.37455e-04 7.89818e-03 9.48644e-02 0.00000e+00 6.70000e-04 9.42159e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.45130e-09 -3.93863e+01 
1.21154e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 9.42149e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.82041e-09 -3.90948e+01 
1.26154e+04 1.00000e+03 2.36219e-04 7.89871e-03 9.48651e-02 0.00000e+00 6.70000e-04 9.22599e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.85698e-09 -3.90904e+01 
1.26156e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 9.22589e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.92856e-09 -3.90221e+01 
1.31156e+04 1.00000e+03 2.35918e-04 7.89884e-03 9.48652e-02 0.00000e+00 6.70000e-04 9.03618e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.96612e-09 -3.90179e+01 
1.31159e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 9.03609e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 3.08139e-09 -3.89237e+01 
1.36159e+04 1.00000e+03 2.35509e-04 7.89901e-03 9.48655e-02 0.00000e+00 6.70000e-04 8.85206e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 3.12107e-09 -3.89193e+01 
1.36164e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 8.85189e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 3.53576e-09 -3.86573e+01 
1.41164e+04 1.00000e+03 2.34411e-04 7.89948e-03 9.48661e-02 0.00000e+00 6.70000e-04 8.67386e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 3.58144e-09 -3.86528e+01 
1.41169e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 8.67369e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 4.04820e-09 -3.83949e+01 
1.46169e+04 1.00000e+03 2.33338e-04 7.89994e-03 9.48667e-02 0.00000e+00 6.70000e-04 8.50143e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 4.10025e-09 -3.83904e+01 
1.46174e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 8.50127e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 4.06070e-09 -3.83890e+01 
1.56174e+04 1.00000e+03 4.66631e-04 7.79990e-03 9.47335e-02 0.00000e+00 6.70000e-04 8.16653e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 4.11213e-09 -3.83848e+01 
1.56176e+04 1.00000e+03 2.34597e-04 7.89940e-03 9.48660e-02 0.00000e+00 6.70000e-04 8.16645e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.12599e-09 -3.79156e+01 
1.56181e+04 1.00000e+03 1.42548e-06 7.99939e-03 9.49992e-02 0.00000e+00 6.70000e-04 8.16630e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.19169e-09 -3.79113e+01 
1.57431e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 8.12713e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.25804e-09 -3.79069e+01 
1.67431e+04 1.00000e+03 4.62290e-04 7.80176e-03 9.47359e-02 0.00000e+00 6.70000e-04 7.81624e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.42192e-09 -3.78472e+01 
1.67436e+04 1.00000e+03 6.95881e-05 7.97016e-03 9.49603e-02 0.00000e+00 6.70000e-04 7.81610e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.60514e-09 -3.77420e+01 
1.67455e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 7.81553e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.72612e-09 -3.77349e+01 
1.77455e+04 1.00000e+03 4.61382e-04 7.80215e-03 9.47365e-02 0.00000e+00 6.70000e-04 7.52270e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.74756e-09 -3.77337e+01 
1.77460e+04 1.00000e+03 6.94518e-05 7.97022e-03 9.49603e-02 0.00000e+00 6.70000e-04 7.52256e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.60542e-09 -3.77420e+01 
1.77480e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 7.52202e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.72616e-09 -3.77349e+01 
1.87480e+04 1.00000e+03 4.61382e-04 7.80215e-03 9.47365e-02 0.00000e+00 6.70000e-04 7.24566e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.74756e-09 -3.77337e+01 
1.87485e+04 1.00000e+03 6.94518e-05 7.97022e-03 9.49603e-02 0.00000e+00 6.70000e-04 7.24553e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.60542e-09 -3.77420e+01 
1.87504e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 7.24503e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.72616e-09 -3.77349e+01 
1.97504e+04 1.00000e+03 4.61382e-04 7.80215e-03 9.47365e-02 0.00000e+00 6.70000e-04 6.98421e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 5.74756e-09 -3.77337e+01 
1.97509e+04 1.00000e+03 1.59293e-04 7.93169e-03 9.49090e-02 0.00000e+00 6.70000e-04 6.98409e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 6.49526e-09 -3.74548e+01 
1.97529e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 6.98361e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 6.60373e-09 -3.74492e+01 
2.07529e+04 1.00000e+03 4.59092e-04 7.80314e-03 9.47378e-02 0.00000e+00 6.70000e-04 6.73868e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 6.66315e-09 -3.74456e+01 
2.07538e+04 1.00000e+03 3.23978e-05 7.98611e-03 9.49815e-02 0.00000e+00 6.70000e-04 6.73846e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 7.88877e-09 -3.70756e+01 
2.07616e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 6.73667e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 8.07526e-09 -3.70675e+01 
2.17616e+04 1.00000e+03 4.56090e-04 7.80442e-03 9.47395e-02 0.00000e+00 6.70000e-04 6.50707e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 8.10065e-09 -3.70642e+01 
2.17626e+04 1.00000e+03 3.33747e-05 7.98569e-03 9.49809e-02 0.00000e+00 6.70000e-04 6.50686e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 7.90262e-09 -3.70725e+01 
2.17704e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 6.50517e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 8.08616e-09 -3.70648e+01 
2.27704e+04 1.00000e+03 4.56090e-04 7.80442e-03 9.47395e-02 0.00000e+00 6.70000e-04 6.28847e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 8.10065e-09 -3.70642e+01 
2.27714e+04 1.00000e+03 1.99506e-04 7.91445e-03 9.48860e-02 0.00000e+00 6.70000e-04 6.28827e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 1.04906e-08 -3.65182e+01 
2.27753e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 6.28744e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 1.09361e-08 -3.63507e+01 
2.37753e+04 1.00000e+03 4.64201e-04 7.80095e-03 9.47349e-02 0.00000e+00 6.70000e-04 6.07531e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 1.10846e-08 -3.63415e+01 
2.37792e+04 1.00000e+03 1.62557e-04 7.93029e-03 9.49071e-02 0.00000e+00 6.70000e-04 6.07447e-10 1.20862e-03 0.00000e+00 3.72000e-01 1 2.18313e-08 -3.49678e+01 
