# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    adap_flag     sat_Cg    lnsat_Sig
50.00000 1000.00000 0.00000 0.00800 0.09379 0.00000 0.00067 -0.00044 0.00121 0.00000 0 0.00000 -7.04219e+01 
300.00000 1000.00000 0.00002 0.00799 0.09378 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
300.00003 1000.00000 0.00000 0.00800 0.09379 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
300.00051 1000.00000 0.00000 0.00800 0.09380 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
362.50051 1000.00000 0.00002 0.00799 0.09379 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
362.50057 1000.00000 0.00000 0.00800 0.09381 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
425.00057 1000.00000 0.00002 0.00799 0.09380 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
425.00069 1000.00000 0.00000 0.00800 0.09381 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
487.50069 1000.00000 0.00002 0.00799 0.09380 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
487.50093 1000.00000 0.00000 0.00800 0.09381 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
487.50283 1000.00000 0.00000 0.00800 0.09382 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
550.00283 1000.00000 0.00002 0.00799 0.09381 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
550.00379 1000.00000 0.00000 0.00800 0.09382 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
612.50379 1000.00000 0.00002 0.00799 0.09381 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
