# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
50.00000 0.00000 7092418616.26842 62424290489.06417 0.00000 294749621.97893 -166297225.14642 291933230.47436 0.00000 0.00000 0.00000 
300.00000 6010205.07565 7086408411.19277 62418630250.73689 0.00000 294749621.97893 0.00000 290533363.48089 0.00000 0.00000 0.00000 
300.00003 2907576.64003 35543372333.44240 312861273598.27844 0.00000 1477246780.41727 0.30771 1456115440.73816 0.00000 0.00000 0.00000 
300.00051 0.00000 35546279910.08243 312903304119.52875 0.00000 1477246780.41727 0.60662 1456115440.43924 0.00000 0.00000 0.00000 
362.50051 29233334.93739 35517046575.14503 312874070784.60950 0.00000 1477246780.41727 0.89700 1456115440.14886 0.00000 0.00000 0.00000 
362.50057 0.00000 38307876422.66450 337222949146.64551 0.00000 1592014333.23413 1.26746 1569241295.25698 0.00000 0.00000 0.00000 
425.00057 33750156.76146 38274134335.44894 337189270025.84375 0.00000 1592014668.59161 1.55902 1569241625.52577 0.00000 0.00000 0.00000 
425.00069 0.00000 42870989592.87320 377406414026.98969 0.00000 1781650049.16340 2.05323 1756164358.24014 0.00000 0.00000 0.00000 
487.50069 41749910.03353 42829239682.83967 377364664116.97479 0.00000 1781650049.16340 2.35129 1756164357.94209 0.00000 0.00000 0.00000 
487.50093 7021307.60280 50203499714.79333 442011529359.12634 0.00000 2086669286.09791 3.07481 2056820433.51133 0.00000 0.00000 0.00000 
487.50283 0.00000 50210521022.39614 442059632476.78656 0.00000 2086669286.09791 3.38330 2056820433.20284 0.00000 0.00000 0.00000 
550.00283 55996625.16259 50154524397.23355 442003635851.64252 0.00000 2086669286.09791 3.67978 2056820432.90636 0.00000 0.00000 0.00000 
550.00379 0.00000 57348876612.38323 504915171146.08496 0.00000 2383327975.54325 4.50723 2349235554.68947 0.00000 0.00000 0.00000 
612.50379 71514395.46382 57277617395.75191 504845903414.76764 0.00000 2383338580.36912 4.79825 2349246007.52715 0.00000 0.00000 0.00000 
612.50570 30935570.44343 63180282146.64924 556497887612.95276 0.00000 2626957535.22000 5.57620 2589380103.90364 0.00000 0.00000 0.00000 
612.51332 0.00000 63211217717.09267 556573058182.20728 0.00000 2626957535.22000 5.85011 2589380103.62973 0.00000 0.00000 0.00000 
675.01332 84711812.02720 63126505905.06546 556488346370.19641 0.00000 2626957535.22000 6.11107 2589380103.36877 0.00000 0.00000 0.00000 
675.01714 36396183.15056 63174821533.94212 556536661999.07300 0.00000 2626957535.22000 6.36270 2589380103.11715 0.00000 0.00000 0.00000 
675.03240 0.00000 63211217717.09267 556619679592.14868 0.00000 2626957535.22000 6.60256 2589380102.87728 0.00000 0.00000 0.00000 
737.53240 83493580.39219 63127724136.70048 556536186011.77075 0.00000 2626957535.22000 6.83119 2589380102.64865 0.00000 0.00000 0.00000 
737.53621 14947548.05300 69929436923.14600 615895048805.36792 0.00000 2906777221.96856 7.76045 2865197095.86313 0.00000 0.00000 0.00000 
737.56673 0.00000 69944835795.87660 615999217500.35217 0.00000 2906795978.30336 7.95159 2865215583.70600 0.00000 0.00000 0.00000 
800.06673 103016231.70998 69845430161.58754 615927999544.54749 0.00000 2906946028.98177 8.13309 2865363487.79660 0.00000 0.00000 0.00000 
800.07055 44416090.90479 70879770071.77942 624579870762.29492 0.00000 2947496219.78930 8.41697 2905333626.39197 0.00000 0.00000 0.00000 
800.08580 0.00000 70924186162.68420 624681970317.45349 0.00000 2947496219.78930 8.57844 2905333626.23050 0.00000 0.00000 0.00000 
862.58580 105152574.40781 70819033588.27640 624576817743.05530 0.00000 2947496219.78930 8.73137 2905333626.07757 0.00000 0.00000 0.00000 
862.58962 48203372.01962 70875982790.66460 624633766945.44348 0.00000 2947496219.78930 8.87675 2905333625.93219 0.00000 0.00000 0.00000 
862.60488 0.00000 70924186162.68420 624738178217.21948 0.00000 2947496219.78930 9.01448 2905333625.79446 0.00000 0.00000 0.00000 
925.10488 105041961.86639 70819144200.81783 624633136255.36121 0.00000 2947496219.78930 9.14492 2905333625.66402 0.00000 0.00000 0.00000 
925.11251 22942845.79592 70901243316.88829 624715235371.43176 0.00000 2947496219.78930 9.27075 2905333625.53819 0.00000 0.00000 0.00000 
925.14302 0.00000 70924186162.68420 624786919146.09631 0.00000 2947496219.78930 9.38996 2905333625.41898 0.00000 0.00000 0.00000 
987.64302 104391870.95883 70819794291.72539 624682527275.14453 0.00000 2947496219.78930 9.50290 2905333625.30604 0.00000 0.00000 0.00000 
987.65065 36474828.30674 70887711334.37747 624750444317.79663 0.00000 2947496219.78930 9.61128 2905333625.19766 0.00000 0.00000 0.00000 
987.68117 0.00000 70924186162.68420 624845332933.77576 0.00000 2947496219.78930 9.71397 2905333625.09497 0.00000 0.00000 0.00000 
1050.18117 104034228.19389 70820151934.49031 624741298705.58789 0.00000 2947496219.78930 9.81125 2905333624.99769 0.00000 0.00000 0.00000 
1050.18880 36349911.55683 70887836251.12738 624808983022.22498 0.00000 2947496219.78930 9.90355 2905333624.90539 0.00000 0.00000 0.00000 
1050.21932 0.00000 70924186162.68420 624903546490.80481 0.00000 2947496219.78930 9.99101 2905333624.81793 0.00000 0.00000 0.00000 
1112.71932 104043920.51639 70820142242.16782 624799502570.29370 0.00000 2947496219.78930 10.07384 2905333624.73510 0.00000 0.00000 0.00000 
1112.72695 36353298.08539 70887832864.59882 624867193192.72461 0.00000 2947496219.78930 10.15246 2905333624.65648 0.00000 0.00000 0.00000 
1112.75747 0.00000 70924186162.68420 624961765471.28406 0.00000 2947496219.78930 10.22693 2905333624.58201 0.00000 0.00000 0.00000 
1175.25747 104053613.74187 70820132548.94234 624857711857.54663 0.00000 2947496219.78930 10.29745 2905333624.51149 0.00000 0.00000 0.00000 
1175.26509 36356684.92945 70887829477.75476 624925408786.35901 0.00000 2947496219.78930 10.36440 2905333624.44454 0.00000 0.00000 0.00000 
1175.29561 0.00000 70924186162.68420 625019989875.71863 0.00000 2947496219.78930 10.42780 2905333624.38114 0.00000 0.00000 0.00000 
1237.79561 104063307.87041 70820122854.81380 624915926567.85205 0.00000 2947496219.78930 10.48783 2905333624.32111 0.00000 0.00000 0.00000 
1237.80324 36360072.08905 70887826090.59515 624983629803.63342 0.00000 2947496219.78930 10.54483 2905333624.26411 0.00000 0.00000 0.00000 
1237.83376 0.00000 70924186162.68420 625078219704.61414 0.00000 2947496219.78930 10.59881 2905333624.21013 0.00000 0.00000 0.00000 
1300.33376 104073002.90210 70820113159.78210 624974146701.71521 0.00000 2947496219.78930 10.64990 2905333624.15904 0.00000 0.00000 0.00000 
1300.34139 36363459.56421 70887822703.12000 625041856245.05310 0.00000 2947496219.78930 10.69843 2905333624.11051 0.00000 0.00000 0.00000 
1300.37191 0.00000 70924186162.68420 625136454958.47607 0.00000 2947496219.78930 10.74437 2905333624.06457 0.00000 0.00000 0.00000 
1362.87191 104082698.83703 70820103463.84717 625032372259.64160 0.00000 2947496219.78930 10.78784 2905333624.02110 0.00000 0.00000 0.00000 
1362.87954 36366847.35497 70887819315.32924 625100088111.12378 0.00000 2947496219.78930 10.82914 2905333623.97980 0.00000 0.00000 0.00000 
1362.91005 0.00000 70924186162.68420 625194695637.80957 0.00000 2947496219.78930 10.86824 2905333623.94070 0.00000 0.00000 0.00000 
1425.41005 104092395.67528 70820093767.00893 625090603242.13660 0.00000 2947496219.78930 10.90521 2905333623.90373 0.00000 0.00000 0.00000 
1425.41768 36370235.46134 70887815927.22287 625158325402.35059 0.00000 2947496219.78930 10.94036 2905333623.86858 0.00000 0.00000 0.00000 
1425.44820 0.00000 70924186162.68420 625252941743.12061 0.00000 2947496219.78930 10.97362 2905333623.83532 0.00000 0.00000 0.00000 
1487.94820 104102093.41694 70820084069.26727 625148839649.70569 0.00000 2947496219.78930 11.00506 2905333623.80388 0.00000 0.00000 0.00000 
1487.95583 36373623.88337 70887812538.80084 625216568119.23938 0.00000 2947496219.78930 11.03497 2905333623.77397 0.00000 0.00000 0.00000 
1487.98635 0.00000 70924186162.68420 625311193274.91467 0.00000 2947496219.78930 11.06325 2905333623.74569 0.00000 0.00000 0.00000 
1550.48635 104111792.06207 70820074370.62213 625207081482.85425 0.00000 2947496219.78930 11.08998 2905333623.71896 0.00000 0.00000 0.00000 
1550.49398 36377012.62108 70887809150.06313 625274816262.29517 0.00000 2947496219.78930 11.11542 2905333623.69352 0.00000 0.00000 0.00000 
1550.52449 0.00000 70924186162.68420 625369450233.69702 0.00000 2947496219.78930 11.13947 2905333623.66947 0.00000 0.00000 0.00000 
1613.02449 104121491.61079 70820064671.07343 625265328742.08765 0.00000 2947496219.78930 11.16218 2905333623.64676 0.00000 0.00000 0.00000 
1613.03212 36380401.67450 70887805761.00972 625333069832.02393 0.00000 2947496219.78930 11.18380 2905333623.62514 0.00000 0.00000 0.00000 
1613.06264 0.00000 70924186162.68420 625427712619.97375 0.00000 2947496219.78930 11.20424 2905333623.60470 0.00000 0.00000 0.00000 
1675.56264 104131192.06315 70820054970.62105 625323581427.91174 0.00000 2947496219.78930 11.22353 2905333623.58541 0.00000 0.00000 0.00000 
1675.57027 36383791.04366 70887802371.64055 625391328828.93127 0.00000 2947496219.78930 11.24191 2905333623.56703 0.00000 0.00000 0.00000 
1675.60079 0.00000 70924186162.68420 625485980434.25024 0.00000 2947496219.78930 11.25927 2905333623.54967 0.00000 0.00000 0.00000 
1738.10079 104140893.41926 70820045269.26495 625381839540.83203 0.00000 2947496219.78930 11.27564 2905333623.53330 0.00000 0.00000 0.00000 
1738.10842 36387180.72859 70887798981.95563 625449593253.52271 0.00000 2947496219.78930 11.29125 2905333623.51769 0.00000 0.00000 0.00000 
1738.13893 0.00000 70924186162.68420 625544253677.03235 0.00000 2947496219.78930 11.30599 2905333623.50295 0.00000 0.00000 0.00000 
